Year,Dog_name,Breed,Gender,Suburb
2008,"MAX","GOLDEN RETRIEVER","MALE","NORTH ADELAIDE"
2008,"MAX","GERMAN SHEPHERD DOG","MALE","NORTH ADELAIDE"
2008,"MAX","WEST HIGHLAND WHITE TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"MAX","AMERICAN STAFFORDSHIRE TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"MAX","POODLE MINIATURE","MALE","NORTH ADELAIDE"
2008,"MAX","MALTESE","MALE","NORTH ADELAIDE"
2008,"MAXIMUS","COCKER SPANIEL CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"MAXY","MALTESE CROSS","MALE","NORTH ADELAIDE"
2008,"MEGAN","MALTESE CROSS","FEMALE","ADELAIDE"
2008,"MEGAN","MALTESE CROSS","FEMALE","NORTH ADELAIDE"
2008,"MEGAN","MALTESE CROSS","FEMALE","ADELAIDE"
2008,"MEGAN","MALTESE CROSS","FEMALE","NORTH ADELAIDE"
2008,"MILLIE","DACHSHUND","DESEXED FEMALE","NORTH ADELAIDE"
2008,"MILO","TENTERFIELD TERRIER","MALE","NORTH ADELAIDE"
2008,"MISSY","JACK RUSSELL TERRIER","DESEXED FEMALE","NORTH ADELAIDE"
2008,"MITRA","SCHNAUZER MINIATURE","DESEXED MALE","ADELAIDE"
2008,"MOET","COCKER SPANIEL CROSS","DESEXED FEMALE","ADELAIDE"
2008,"MOLLY","CAIRN TERRIER","DESEXED FEMALE","NORTH ADELAIDE"
2008,"MONA","BEAGLE","DESEXED FEMALE","NORTH ADELAIDE"
2008,"MONTY","BOSTON TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"MONTY","MALTESE CROSS","MALE","NORTH ADELAIDE"
2008,"MOOCHIE","MALTESE CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"MORITZ","FOX TERRIER (SMOOTH)","DESEXED MALE","NORTH ADELAIDE"
2008,"MR SCRAGGS","TERRIER - UNKNOWN","DESEXED MALE","ADELAIDE"
2008,"MR SCRAGGS","TERRIER - UNKNOWN","DESEXED MALE","NORTH ADELAIDE"
2008,"MURKY","JACK RUSSELL TERRIER","FEMALE","NORTH ADELAIDE"
2008,"NESSIE","BEARDED COLLIE","DESEXED FEMALE","ADELAIDE"
2008,"NESSIE","BEARDED COLLIE","DESEXED FEMALE","NORTH ADELAIDE"
2008,"OLIVER","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2008,"OLLEY","AUSTRALIAN KELPIE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"OLLIE","BORDER COLLIE CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"OSCAR","MALTESE CROSS","DESEXED MALE","ADELAIDE"
2008,"OSCAR","JACK RUSSELL TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"PABLO","JACK RUSSELL TERRIER","MALE","NORTH ADELAIDE"
2008,"PADDINGTON","LABRADOR RETRIEVER CROSS","MALE","NORTH ADELAIDE"
2008,"PADDY","WEST HIGHLAND WHITE TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"PADDY","BORDER COLLIE","DESEXED MALE","ADELAIDE"
2008,"PADDY","BORDER COLLIE","DESEXED MALE","NORTH ADELAIDE"
2008,"PALAIS","WHIPPET","FEMALE","NORTH ADELAIDE"
2008,"PAPOOSE","SIBERIAN HUSKY","DESEXED FEMALE","NORTH ADELAIDE"
2008,"PEBBLES","MALTESE CROSS","DESEXED FEMALE","ADELAIDE"
2008,"PEBBLES","MALTESE","FEMALE","NORTH ADELAIDE"
2008,"PENELOPE","JACK RUSSELL TERRIER","DESEXED FEMALE","NORTH ADELAIDE"
2008,"PENNY","DACHSHUND","DESEXED FEMALE","NORTH ADELAIDE"
2008,"PENNY","DACHSHUND","DESEXED FEMALE","NORTH ADELAIDE"
2008,"PEPSI","POODLE MINIATURE","DESEXED FEMALE","ADELAIDE"
2008,"PEPSI","MALTESE CROSS","MALE","NORTH ADELAIDE"
2008,"PHOEBE","MALTESE CROSS","DESEXED FEMALE","ADELAIDE"
2008,"PHOEBE","ROTTWEILER","DESEXED FEMALE","NORTH ADELAIDE"
2008,"PHOEBE","MALTESE CROSS","FEMALE","NORTH ADELAIDE"
2008,"POLLY-ESTER","MALTESE CROSS","DESEXED FEMALE","ADELAIDE"
2008,"POPPY","CAVALIER KING CHARLES SPANIEL","DESEXED FEMALE","ADELAIDE"
2008,"PRINCE","CHIHUAHUA","DESEXED MALE","NORTH ADELAIDE"
2008,"PRINCESS","MALTESE CROSS","DESEXED FEMALE","ADELAIDE"
2008,"PUENKTCHEN","JACK RUSSELL TERRIER","DESEXED FEMALE","NORTH ADELAIDE"
2008,"RALPH","LABRADOR RETRIEVER CROSS","DESEXED MALE","ADELAIDE"
2008,"RALPH","LABRADOR RETRIEVER CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"RALPH","MALTESE CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"RANI","SCHNAUZER MINIATURE","DESEXED FEMALE","ADELAIDE"
2008,"REMY","POODLE STANDARD","DESEXED MALE","ADELAIDE"
2008,"REX","LABRADOR RETRIEVER CROSS","MALE","NORTH ADELAIDE"
2008,"ROBBIE","COCKER SPANIEL CROSS","DESEXED MALE","ADELAIDE"
2008,"ROSIE","MALTESE CROSS","DESEXED FEMALE","ADELAIDE"
2008,"ROXY","POODLE MINIATURE","DESEXED FEMALE","ADELAIDE"
2008,"ROXY","BORDER COLLIE","FEMALE","NORTH ADELAIDE"
2008,"RUBY","HUNGARIAN VIZSLA","DESEXED FEMALE","ADELAIDE"
2008,"RUSS","WEST HIGHLAND WHITE TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"RUSTY","AIREDALE TERRIER","DESEXED FEMALE","NORTH ADELAIDE"
2008,"RUSTY","LABRADOR RETRIEVER","MALE","ADELAIDE"
2008,"SABI","LABRADOR RETRIEVER CROSS","MALE","NORTH ADELAIDE"
2008,"SAFFY","BRITTANY","FEMALE","NORTH ADELAIDE"
2008,"SALLY","MASTIFF","DESEXED FEMALE","ADELAIDE"
2008,"SAM","MALTESE","DESEXED MALE","NORTH ADELAIDE"
2008,"SAM","STAFFORDSHIRE BULL TERRIER CROSS","DESEXED FEMALE","ADELAIDE"
2008,"SAM","JACK RUSSELL TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"SAM","JACK RUSSELL TERRIER","DESEXED MALE","NORTH ADELAIDE"
2008,"SCHNOOZY","SCHNAUZER MINIATURE","MALE","NORTH ADELAIDE"
2008,"SCOOTER","POODLE MINATURE CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"SCRUFF","TERRIER - UNKNOWN","FEMALE","NORTH ADELAIDE"
2008,"SHAKESPEARE","TERRIER - UNKNOWN","DESEXED MALE","NORTH ADELAIDE"
2008,"SIMBA","POODLE STANDARD","MALE","NORTH ADELAIDE"
2008,"SKOOTA","TIBETAN SPANIEL","DESEXED MALE","NORTH ADELAIDE"
2008,"SMUDGE","CHIHUAHUA CROSS","FEMALE","NORTH ADELAIDE"
2008,"SNOOPY","MALTESE CROSS","MALE","NORTH ADELAIDE"
2008,"SOCKS","MALTESE CROSS","MALE","ADELAIDE"
2008,"SOPHIE","MALTESE CROSS","DESEXED FEMALE","ADELAIDE"
2008,"SPOT","COLLIE (ROUGH) CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"STELLA","GERMAN SHEPHERD DOG","FEMALE","ADELAIDE"
2008,"STELLA","FOX TERRIER (SMOOTH)","FEMALE","NORTH ADELAIDE"
2008,"SULO","TERRIER - UNKNOWN","DESEXED FEMALE","ADELAIDE"
2008,"SYDNEY","SOFT COATED WHEATON TERRIER","MALE","NORTH ADELAIDE"
2008,"SYDNEY","SOFT COATED WHEATON TERRIER","MALE","NORTH ADELAIDE"
2008,"TACO","CHIHUAHUA","DESEXED MALE","ADELAIDE"
2008,"TED","POMERANIAN","DESEXED MALE","NORTH ADELAIDE"
2008,"TESLA","AUSTRALIAN KELPIE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2008,"TESSA","JACK RUSSELL TERRIER","FEMALE","ADELAIDE"
2008,"TESSA","JACK RUSSELL TERRIER","FEMALE","ADELAIDE"
2008,"TOMMY","TERRIER - UNKNOWN","DESEXED MALE","ADELAIDE"
2008,"TOMMY","TERRIER - UNKNOWN","DESEXED MALE","NORTH ADELAIDE"
2008,"TRIGG","COCKER SPANIEL CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"TRIX","LABRADOR RETRIEVER","DESEXED FEMALE","NORTH ADELAIDE"
2008,"TWINKLES","WEST HIGHLAND WHITE TERRIER","FEMALE","NORTH ADELAIDE"
2008,"WOODY","MALTESE CROSS","DESEXED MALE","ADELAIDE"
2008,"YOGI","SHIH TZU","DESEXED MALE","NORTH ADELAIDE"
2008,"ZAC","MALTESE CROSS","DESEXED MALE","NORTH ADELAIDE"
2008,"ZEUS","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2008,"ZOE","POODLE MINIATURE","DESEXED FEMALE","NORTH ADELAIDE"
2008,"ZOE","GERMAN SHEPHERD DOG","DESEXED FEMALE","NORTH ADELAIDE"
2008,"ZSA ZSA","POMERANIAN","FEMALE","ADELAIDE"
2009,"ABBY","POODLE MINIATURE","DESEXED FEMALE","ADELAIDE"
2009,"AISHA","POODLE MINATURE CROSS","DESEXED FEMALE","ADELAIDE"
2009,"AISHA","POODLE MINATURE CROSS","DESEXED FEMALE","ADELAIDE"
2009,"ALFIE","JACK RUSSELL TERRIER","DESEXED MALE","NORTH ADELAIDE"
2009,"ALICE","FOX TERRIER WIRE","DESEXED FEMALE","NORTH ADELAIDE"
2009,"ARABELLA","LABRADOR RETRIEVER","DESEXED FEMALE","NORTH ADELAIDE"
2009,"ARCHIBALD","GERMAN SHEPHERD DOG CROSS","DESEXED MALE","NORTH ADELAIDE"
2009,"Archie","AIREDALE TERRIER","MALE","NORTH ADELAIDE"
2009,"ARCHIE","PUG","MALE","NORTH ADELAIDE"
2009,"ARNIE","STAFFORDSHIRE BULL TERRIER","DESEXED MALE","NORTH ADELAIDE"
2009,"ARTIE","TERRIER - UNKNOWN","DESEXED MALE","ADELAIDE"
2009,"ASTRO","WHIPPET","DESEXED MALE","NORTH ADELAIDE"
2009,"BAILY","MALTESE CROSS","MALE","NORTH ADELAIDE"
2009,"BEAR","GERMAN SHEPHERD DOG","DESEXED MALE","NORTH ADELAIDE"
2009,"BELLA","GREAT DANE","FEMALE","NORTH ADELAIDE"
2009,"BELLA","GOLDEN RETRIEVER","DESEXED FEMALE","ADELAIDE"
2009,"BELLA","GOLDEN RETRIEVER","DESEXED FEMALE","ADELAIDE"
2009,"BELLA","SKYE TERRIER","FEMALE","ADELAIDE"
2009,"BERTIE","SCHNAUZER MINIATURE","DESEXED MALE","NORTH ADELAIDE"
2009,"BLACKIE","POMERANIAN","MALE","NORTH ADELAIDE"
2009,"BLUSH","CAVALIER KING CHARLES SPANIEL","DESEXED FEMALE","NORTH ADELAIDE"
2009,"BOB","POODLE MINATURE CROSS","DESEXED MALE","NORTH ADELAIDE"
2009,"BOBBY","BICHON FRISE CROSS","DESEXED MALE","NORTH ADELAIDE"
2009,"BOBBY","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2009,"BODHI JODOCUS","LABRADOR RETRIEVER","DESEXED MALE","ADELAIDE"
2009,"BODRI","FOX TERRIER (SMOOTH)","MALE","ADELAIDE"
2009,"BOO","STAFFORDSHIRE BULL TERRIER CROSS","DESEXED MALE","NORTH ADELAIDE"
2009,"BRIDGET","LABRADOR RETRIEVER CROSS","FEMALE","NORTH ADELAIDE"
2009,"BUFFY","BOXER CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2009,"BUFFY","MALTESE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2009,"BUTTONS","COCKER SPANIEL","DESEXED MALE","NORTH ADELAIDE"
2009,"CALLY","MALTESE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2009,"CELESTE","FOX TERRIER (SMOOTH)","FEMALE","NORTH ADELAIDE"
2009,"CHARLIE","LAGOTTO ROMAGNOLO","DESEXED MALE","ADELAIDE"
2009,"CHARLIE","WELSH CORGIE CARDIGAN","FEMALE","NORTH ADELAIDE"
2009,"CHARLIE","POODLE MINIATURE","DESEXED MALE","ADELAIDE"
2009,"CHARLIE","WELSH CORGIE PEMBROKE","MALE","NORTH ADELAIDE"
2009,"CHARLIE","MALTESE CROSS","MALE","NORTH ADELAIDE"
2009,"CHARLIOTTE","BERNESE MOUNTAIN DOG","DESEXED FEMALE","NORTH ADELAIDE"
2009,"CHI CHI","SHIH TZU","MALE","ADELAIDE"
2009,"CHLOE","JACK RUSSELL TERRIER CROSS","DESEXED FEMALE","ADELAIDE"
2009,"CLAIRE","CAVALIER KING CHARLES SPANIEL","FEMALE","NORTH ADELAIDE"
2009,"Cleo","AUSTRALIAN KELPIE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2009,"CLEO","MALTESE CROSS","DESEXED FEMALE","NORTH ADELAIDE"
2009,"COCO","FOX TERRIER (SMOOTH)","DESEXED FEMALE","NORTH ADELAIDE"
2009,"COCO","POODLE MINATURE CROSS","DESEXED FEMALE","ADELAIDE"
2009,"COMET","GREYHOUND","DESEXED MALE","NORTH ADELAIDE"
2009,"COOPER","STAFFORDSHIRE BULL TERRIER","MALE","NORTH ADELAIDE"
2009,"CRUMPET","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2009,"CUSCO","BULLMASTIFF","DESEXED FEMALE","ADELAIDE"
2009,"DAISY","FOX TERRIER (SMOOTH)","DESEXED FEMALE","ADELAIDE"
2009,"DARLA","CROSS BREED UNKNOWN","DESEXED FEMALE","ADELAIDE"
2009,"DIEGO","AMERICAN STAFFORDSHIRE TERRIER","DESEXED MALE","NORTH ADELAIDE"
2009,"DIZZIE","JACK RUSSELL TERRIER","DESEXED FEMALE","NORTH ADELAIDE"
2009,"DOTTI","CROSS BREED UNKNOWN","DESEXED FEMALE","ADELAIDE"
2009,"DOUGAL","BEARDED COLLIE","DESEXED MALE","NORTH ADELAIDE"
2009,"DOUGAL","CAIRN TERRIER","MALE","ADELAIDE"
2009,"DUDLEY","COCKER SPANIEL CROSS","DESEXED MALE","ADELAIDE"
2009,"DUDLEY","DALMATION","MALE","NORTH ADELAIDE"
2009,"EDDIE","FOX TERRIER CROSS","DESEXED MALE","NORTH ADELAIDE"
2009,"EDDIE","SCOTTISH TERRIER","MALE","NORTH ADELAIDE"
2009,"ELI CASH","GREYHOUND","MALE","NORTH ADELAIDE"
2009,"ELLA","AUSTRALIAN CATTLE DOG","DESEXED FEMALE","NORTH ADELAIDE"
2009,"ELLA","YORKSHIRE TERRIER CROSS","FEMALE","NORTH ADELAIDE"
2009,"ETOSHA","GREAT DANE","FEMALE","NORTH ADELAIDE"
2009,"EVA","SCHNAUZER","FEMALE","ADELAIDE"
2009,"EVIE","CAVALIER KING CHARLES SPANIEL","FEMALE","NORTH ADELAIDE"
2009,"FERGUS","MALTESE CROSS","DESEXED MALE","ADELAIDE"
2009,"FINN","IRISH TERRIER","MALE","NORTH ADELAIDE"
2009,"FIZZ","COCKER SPANIEL CROSS","DESEXED MALE","NORTH ADELAIDE"
2009,"FRANK","BOSTON TERRIER","DESEXED MALE","ADELAIDE"
2009,"FRECKLES","DALMATION","DESEXED FEMALE","NORTH ADELAIDE"
2009,"GEORGE","SCHNAUZER MINIATURE","DESEXED MALE","NORTH ADELAIDE"
2009,"GEORGIA","DACHSHUND","DESEXED FEMALE","ADELAIDE"
2009,"GEORGIO","FOX TERRIER (SMOOTH)","MALE","NORTH ADELAIDE"
2009,"GINGER","TERRIER - UNKNOWN","DESEXED FEMALE","ADELAIDE"
2009,"GINGER","TERRIER - UNKNOWN","DESEXED FEMALE","NORTH ADELAIDE"
2009,"GUS","WEST HIGHLAND WHITE TERRIER CROSS","DESEXED MALE","NORTH ADELAIDE"
2009,"GWYNETH","JACK RUSSELL TERRIER","DESEXED FEMALE","NORTH ADELAIDE"
2009,"GYPSY","CHIHUAHUA","DESEXED FEMALE","ADELAIDE"
2009,"HARRY","DACHSHUND","MALE","ADELAIDE"
2009,"HARRY","SAMOYED CROSS","DESEXED MALE","ADELAIDE"
2009,"HEIDI","YORKSHIRE TERRIER","DESEXED FEMALE","ADELAIDE"
2009,"HENRY","CAVALIER KING CHARLES SPANIEL","DESEXED FEMALE","NORTH ADELAIDE"
2009,"HENRY","CAVALIER KING CHARLES SPANIEL","DESEXED FEMALE","NORTH ADELAIDE"
